user_id,name,gender,vehicle_type,preferred_mechanics,past_service_history,lat,long
user_0,Johnny Coleman,Female,Electric Vehicle,"['mech_381', 'mech_43', 'mech_207', 'mech_346', 'mech_247']","[{'mechanic_id': 'mech_183', 'service_type': 'Wheel Alignment', 'rating': 4.0}, {'mechanic_id': 'mech_160', 'service_type': 'Oil Change', 'rating': 3.9}]",0.1403521126056151,0.5760058910957699
user_1,Brittany Lee,Female,Electric Vehicle,['mech_94'],"[{'mechanic_id': 'mech_71', 'service_type': 'AC Service', 'rating': 4.9}, {'mechanic_id': 'mech_405', 'service_type': 'Brake Repair', 'rating': 3.8}, {'mechanic_id': 'mech_193', 'service_type': 'AC Service', 'rating': 4.4}]",0.05845397339500247,0.5045948646013478
user_2,Dan Bond,Female,Truck,"['mech_88', 'mech_373', 'mech_221', 'mech_270']","[{'mechanic_id': 'mech_33', 'service_type': 'Wheel Alignment', 'rating': 3.2}, {'mechanic_id': 'mech_175', 'service_type': 'Brake Repair', 'rating': 4.8}, {'mechanic_id': 'mech_105', 'service_type': 'General Service', 'rating': 4.5}, {'mechanic_id': 'mech_295', 'service_type': 'Tire Replacement', 'rating': 4.1}, {'mechanic_id': 'mech_186', 'service_type': 'Engine Repair', 'rating': 3.3}, {'mechanic_id': 'mech_181', 'service_type': 'Brake Repair', 'rating': 3.8}, {'mechanic_id': 'mech_274', 'service_type': 'Tire Replacement', 'rating': 4.7}, {'mechanic_id': 'mech_24', 'service_type': 'Tire Replacement', 'rating': 3.4}, {'mechanic_id': 'mech_49', 'service_type': 'Oil Change', 'rating': 4.7}, {'mechanic_id': 'mech_323', 'service_type': 'Wheel Alignment', 'rating': 3.2}]",0.8839816871837289,0.5513055110460554
user_3,Steven Baker,Female,Truck,"['mech_43', 'mech_60', 'mech_313', 'mech_69']","[{'mechanic_id': 'mech_256', 'service_type': 'General Service', 'rating': 3.5}, {'mechanic_id': 'mech_74', 'service_type': 'Transmission Repair', 'rating': 4.3}, {'mechanic_id': 'mech_454', 'service_type': 'Wheel Alignment', 'rating': 3.1}]",0.45503547432974845,0.043634629998063446
user_4,Antonio Walker,Female,Car,"['mech_125', 'mech_40', 'mech_70', 'mech_404', 'mech_443']","[{'mechanic_id': 'mech_163', 'service_type': 'Battery Change', 'rating': 3.4}, {'mechanic_id': 'mech_464', 'service_type': 'Wheel Alignment', 'rating': 3.0}, {'mechanic_id': 'mech_200', 'service_type': 'Suspension Fix', 'rating': 4.0}, {'mechanic_id': 'mech_152', 'service_type': 'AC Service', 'rating': 4.0}, {'mechanic_id': 'mech_249', 'service_type': 'Transmission Repair', 'rating': 4.3}, {'mechanic_id': 'mech_258', 'service_type': 'AC Service', 'rating': 3.5}]",0.30654132036725645,0.4153575704032466
user_5,Jonathan Bennett DDS,Female,Car,['mech_489'],"[{'mechanic_id': 'mech_40', 'service_type': 'Battery Change', 'rating': 3.4}, {'mechanic_id': 'mech_247', 'service_type': 'General Service', 'rating': 4.5}, {'mechanic_id': 'mech_319', 'service_type': 'Suspension Fix', 'rating': 3.0}, {'mechanic_id': 'mech_110', 'service_type': 'AC Service', 'rating': 3.0}, {'mechanic_id': 'mech_379', 'service_type': 'Brake Repair', 'rating': 4.5}, {'mechanic_id': 'mech_265', 'service_type': 'Wheel Alignment', 'rating': 3.8}, {'mechanic_id': 'mech_424', 'service_type': 'Brake Repair', 'rating': 3.7}]",0.9874685042166087,0.8098084543427575
user_6,Linda Johnson,Other,Car,"['mech_485', 'mech_472']","[{'mechanic_id': 'mech_454', 'service_type': 'Oil Change', 'rating': 3.4}, {'mechanic_id': 'mech_216', 'service_type': 'Tire Replacement', 'rating': 4.5}]",0.2968636751465632,0.7008307865783472
user_7,Debbie Lewis,Male,Truck,"['mech_82', 'mech_206', 'mech_280']","[{'mechanic_id': 'mech_369', 'service_type': 'Tire Replacement', 'rating': 3.8}, {'mechanic_id': 'mech_486', 'service_type': 'Battery Change', 'rating': 3.8}, {'mechanic_id': 'mech_250', 'service_type': 'General Service', 'rating': 3.9}, {'mechanic_id': 'mech_63', 'service_type': 'Transmission Repair', 'rating': 4.9}, {'mechanic_id': 'mech_192', 'service_type': 'General Service', 'rating': 4.3}, {'mechanic_id': 'mech_6', 'service_type': 'Suspension Fix', 'rating': 4.6}, {'mechanic_id': 'mech_499', 'service_type': 'Tire Replacement', 'rating': 3.7}]",0.6396903385590407,0.8096108505019384
user_8,Jennifer Koch,Female,Car,"['mech_460', 'mech_298', 'mech_31']","[{'mechanic_id': 'mech_176', 'service_type': 'Battery Change', 'rating': 3.3}, {'mechanic_id': 'mech_102', 'service_type': 'Tire Replacement', 'rating': 3.3}, {'mechanic_id': 'mech_67', 'service_type': 'Brake Repair', 'rating': 5.0}, {'mechanic_id': 'mech_177', 'service_type': 'Tire Replacement', 'rating': 3.7}, {'mechanic_id': 'mech_374', 'service_type': 'AC Service', 'rating': 3.7}, {'mechanic_id': 'mech_393', 'service_type': 'Engine Repair', 'rating': 4.1}]",0.6370407417150705,0.4565889374866492
user_9,Andrea Green,Female,Car,"['mech_390', 'mech_74']","[{'mechanic_id': 'mech_124', 'service_type': 'Suspension Fix', 'rating': 4.5}, {'mechanic_id': 'mech_322', 'service_type': 'Brake Repair', 'rating': 3.1}, {'mechanic_id': 'mech_216', 'service_type': 'Wheel Alignment', 'rating': 3.9}]",0.008497934956893438,0.05878579193366029
user_10,Hannah Brown,Male,Truck,"['mech_141', 'mech_240']","[{'mechanic_id': 'mech_440', 'service_type': 'AC Service', 'rating': 3.7}, {'mechanic_id': 'mech_236', 'service_type': 'Brake Repair', 'rating': 4.1}, {'mechanic_id': 'mech_238', 'service_type': 'AC Service', 'rating': 3.9}, {'mechanic_id': 'mech_168', 'service_type': 'General Service', 'rating': 4.9}, {'mechanic_id': 'mech_375', 'service_type': 'Suspension Fix', 'rating': 4.8}, {'mechanic_id': 'mech_315', 'service_type': 'AC Service', 'rating': 4.9}, {'mechanic_id': 'mech_290', 'service_type': 'General Service', 'rating': 3.7}, {'mechanic_id': 'mech_276', 'service_type': 'Brake Repair', 'rating': 3.5}, {'mechanic_id': 'mech_69', 'service_type': 'Wheel Alignment', 'rating': 3.8}, {'mechanic_id': 'mech_304', 'service_type': 'Suspension Fix', 'rating': 4.4}]",0.4819224456031934,0.8421063268747737
